Guatemala	Mexico	Colombia	Hawai
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX	COL	HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT	MEX		HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
GUAT			HAW
			HAW
			HAW
			HAW
			HAW
			HAW
			HAW

