Specimen_id,site,Year,Family,Bee,Sex,Date,Period,Flower
7108,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,male,05_01,C,free
7109,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,male,05_01,A,Gagea lutea (L.) Ker Gawl.
7110,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,male,05_01,A,Gagea lutea (L.) Ker Gawl.
7111,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,male,05_01,A,Gagea lutea (L.) Ker Gawl.
7116,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,male,05_01,D,free
7112,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,male,05_08,D,Corylopsis spicata Siebold et Zucc.
7115,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,male,05_08,B,Gagea lutea (L.) Ker Gawl.
7113,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,male,05_14,A,Taraxacum officinale Weber ex F.H.Wigg.
7114,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,male,05_14,A,Taraxacum officinale Weber ex F.H.Wigg.
7096,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_01,C,Gagea lutea (L.) Ker Gawl.
7097,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_08,D,Corylopsis spicata Siebold et Zucc.
7098,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_08,C,Gagea lutea (L.) Ker Gawl.
7099,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_08,C,Gagea lutea (L.) Ker Gawl.
7100,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_08,C,Rhododendron dauricum L.
7101,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_08,B,Gagea lutea (L.) Ker Gawl.
7102,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_08,B,Gagea lutea (L.) Ker Gawl.
7103,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_08,B,Gagea lutea (L.) Ker Gawl.
7104,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_08,C,Gagea lutea (L.) Ker Gawl.
7105,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_21,D,Cerasus spp.
7106,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,05_21,D,Cerasus spp.
7092,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,06_13,B,Spiraea betulifolia Pall. var. betulifolia f. grandifolia (Nakai) Kitam. ex Kawano
7093,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,06_13,B,Spiraea betulifolia Pall. var. betulifolia f. grandifolia (Nakai) Kitam. ex Kawano
7107,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,06_13,A,Spiraea betulifolia Pall. var. betulifolia f. grandifolia (Nakai) Kitam. ex Kawano
7094,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,06_18,C,Heracleum lanatum Michx. var. lanatum
7095,BG,1979,Andrenidae,Andrena (Andrena) benifica Hirashima,female,06_18,A,Spiraea betulifolia Pall. var. betulifolia f. grandifolia (Nakai) Kitam. ex Kawano
7090,BG,1979,Andrenidae,Andrena (Andrena) nawai Cockerell,female,05_08,D,Corylopsis pauciflora Siebold et Zucc.
11557,BG,1979,Andrenidae,Andrena (Andrena) sp.,male,08_13,C,Fallopia sachalinensis (F.Schmidt) Ronse Decr.
11581,BG,1979,Andrenidae,Andrena (Calomelissa) tsukubana Hirashima ,male,07_16,B,Spiraea salicifolia L.
11560,BG,1979,Andrenidae,Andrena (Cnemiandrena) denticulata seneciorum Hiashima,male,07_30,B,Hypochaeris radicata L.
11558,BG,1979,Andrenidae,Andrena (Cnemiandrena) denticulata seneciorum Hiashima,male,08_13,D,free
11559,BG,1979,Andrenidae,Andrena (Cnemiandrena) denticulata seneciorum Hiashima,male,08_29,C,Senecio cannabifolius Less.
12723,BG,1979,Andrenidae,Andrena (Cnemiandrena) denticulata seneciorum Hiashima,female,09_03,A,Aster microcephalus (Miq.) Franch. et Sav. var. yezoensis (Kitam. et H.Hara) Soejima et Mot.Ito
12724,BG,1979,Andrenidae,Andrena (Cnemiandrena) denticulata seneciorum Hiashima,female,09_03,C,Senecio cannabifolius Less.
12725,BG,1979,Andrenidae,Andrena (Cnemiandrena) denticulata seneciorum Hiashima,female,09_03,C,Senecio cannabifolius Less.
7163,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,D,Gagea lutea (L.) Ker Gawl.
7164,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,D,Gagea lutea (L.) Ker Gawl.
7165,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,D,Gagea lutea (L.) Ker Gawl.
7166,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,D,free
7167,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,A,free
7168,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,B,free
7169,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,B,free
7170,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,B,free
7171,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,B,free
7172,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,B,free
7173,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,B,free
7174,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,C,free
7175,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,C,free
7176,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,C,free
7178,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,B,Gagea lutea (L.) Ker Gawl.
7180,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,C,Gagea lutea (L.) Ker Gawl.
7181,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,04_26,B,Gagea lutea (L.) Ker Gawl.
7145,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,05_01,A,free
7177,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,05_01,D,free
7179,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,05_01,C,free
7182,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,male,05_01,D,free
7122,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,female,05_08,D,Gagea lutea (L.) Ker Gawl.
7123,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,female,05_08,D,Gagea lutea (L.) Ker Gawl.
7124,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,female,05_08,D,Gagea lutea (L.) Ker Gawl.
7125,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,female,05_08,D,Gagea lutea (L.) Ker Gawl.
7126,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,female,05_08,C,Petasites japonicus (Siebold et Zucc.) Maxim.
7127,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,female,05_08,C,Gagea lutea (L.) Ker Gawl.
7128,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,female,05_08,C,Stellaria media (L.) Vill.
7129,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,female,05_08,C,Rhododendron dauricum L.
7130,BG,1979,Andrenidae,Andrena (Euandrena) luridiloma Strand,female,05_08,B,Gagea lutea (L.) Ker Gawl.
